item,itemID,type,choices,complexity_category,definition,gloss
spéaclaí,item_330,CLOTHES,produces; doesn't produce,,spéaclaí,slipper
glasses,item_331,CLOTHES,produces; doesn't produce,,glasses,glasses
stocaí,item_332,CLOTHES,produces; doesn't produce,,stocaí,glasses
socks,item_333,CLOTHES,produces; doesn't produce,,socks,socks
tléine,item_334,CLOTHES,produces; doesn't produce,,tléine,socks
tshirt,item_335,CLOTHES,produces; doesn't produce,,tshirt,tshirt
veist,item_336,CLOTHES,produces; doesn't produce,,veist_cfoléine,tshirt
vest,item_337,CLOTHES,produces; doesn't produce,,vest,vest
aghaidh,item_338,BODY PARTS,produces; doesn't produce,,aghaidh,vest
face,item_339,BODY PARTS,produces; doesn't produce,,face,face
barraicíní,item_340,BODY PARTS,produces; doesn't produce,,barraicíní,face
toes,item_341,BODY PARTS,produces; doesn't produce,,toes,toes
béal,item_342,BODY PARTS,produces; doesn't produce,,béal,toes
mouth,item_343,BODY PARTS,produces; doesn't produce,,mouth,mouth
beola,item_344,BODY PARTS,produces; doesn't produce,,beola,mouth
lips,item_345,BODY PARTS,produces; doesn't produce,,lips,lips
bolg,item_346,BODY PARTS,produces; doesn't produce,,bolg,lips
tummy,item_347,BODY PARTS,produces; doesn't produce,,tummy_stomach,tummy
ceann,item_348,BODY PARTS,produces; doesn't produce,,ceann_bpcloigeann,head
head,item_349,BODY PARTS,produces; doesn't produce,,head,head
cluasa,item_350,BODY PARTS,produces; doesn't produce,,cluasa,head
ears,item_351,BODY PARTS,produces; doesn't produce,,ears,ears
cos,item_352,BODY PARTS,produces; doesn't produce,,cos,ears
foot,item_353,BODY PARTS,produces; doesn't produce,,foot,foot
droim,item_354,BODY PARTS,produces; doesn't produce,,droim,foot
back,item_355,BODY PARTS,produces; doesn't produce,,back,back
fiacla,item_356,BODY PARTS,produces; doesn't produce,,fiacla,back
teeth,item_357,BODY PARTS,produces; doesn't produce,,teeth,teeth
glúin,item_358,BODY PARTS,produces; doesn't produce,,glúin,teeth
knee,item_359,BODY PARTS,produces; doesn't produce,,knee,knee
